title,release_date,album,lyrics
Walk in the Light,,"One Lord, One Faith, One Baptism","3 ContributorsWalk in the Light Lyrics
Jesus is the light of the world
Come on, choir

Walk in the light (Walk in the light)
Beautiful light (Well, it's a beautiful light)
Come where the dewdrops of mercy shine bright
Oh, shine all around us by day and by night
Jesus is the light of the world
(I wonder do you know it this evening, yeah, yeah)
Walk in the light (We're gonna walk in the light)
Beautiful light (Well, the beautiful light)
Come where the dewdrops of mercy shine bright
Oh, shine all around us by day and by night (Oh Lord)
Jesus is the light of the world (Oh, oh yeah)
Walk in the light (We're going distance, yeah)
Beautiful light (We're going the distance with the Lord, oh yeah)
Come where the dewdrops of mercy shine bright
Oh, shine all around us by day and by night (Oh Lord)
Jesus is the light of the world

He's shining (Yes, He's shining)
He's shining (Oh yes He is, He's shining)You might also likeEmbed"
You Send Me,1968-06-14,Soul Queen,"8 ContributorsYou Send Me Lyrics
Darling you send me
Darling you send me
Darling you send me
Honest you do
Honest you do
Honest you do
Woah-Oh-Oh
You thrill me, darling you thrill me
Baby you, you thrill me
Honest you do
Honest you do
Honest you do

At first I thought it was infatuation
But it lasted so long, so long
Now I find myself wanting
I want you to marry me, please take me home
Yeah, yeah, yeah, yeah, yeah, yeah

You, you send me
Darling you send me
Darling you, send me
Honest you do
Honest you know ya did
Ya know, ya did
Ya know ya, do know (you-ooh-hoo send me)
You got everything it takes to wed me (you-ooh-hoo send me)
And when you do the things you do you know that send me (do-ooh-hoo send me)
Honestly, you send me
You send me, baby, you send me
You move me (do)
You groove me (do)
Whoooo, you send me
Ah yes, ah yes, ah yes, thank you to send me
Guess I'm a, a sinner
Make me a longer
I, I, I, I, I, I, I just can't stand any it
Thrill me, kill me
Oooh, send me, send me baby
Pretty baby, oooh yeahYou might also like2Embed"
A Different World (Theme Song),1988-10-06,,"2 ContributorsA Different World (Theme Song) Lyrics
I know my parents loved me
Stand behind me come what may, mmm
I know now that I'm ready, yeah
For I finally heard them say

It's a different world (Ooh, ooh)
Than where you come from
Yes, it is now, yeah

Here's our chance to make it, hey
And if we focus on our goal
You can dish it, we can take it, hey
Just remember that you've been told

It's a different world (It's a different world)
It's a different world (It's a different world)
Yeah, than where you come from
Ooh ooh ooh ooh
Than where you come from!You might also likeEmbed"
How I Got Over,1972-07-01,Amazing Grace,"5 ContributorsHow I Got Over Lyrics
How I got over (How I got over)
How I got over (How I got over)
You know my soul looks back in wonder how I got over
How I got over (How I got over)
How I got over (How I got over)
Oh, my soul looks back in wonder how I got over

Just as soon as I see Jesus (Oh yes)
The man who made me free (Oh yes, oh yes)
It was the man who bled and suffered (Oh yes, oh yes, oh yes)
You know, he died for you and for me (Oh yes)
I'm gon' thank you because you brought me, Lord (Oh yes)
I wanna thank you, Jesus, because you taught me (Oh yes, oh yes)
I wanna thank you because he kept me  (Oh yes, oh yes, oh yes)
I'ma thank you 'cause you never left me (Oh yes)

I want to sing (Hallelujah)
I just might shout this evening (Troubles over)
My soul looks back in wonder how I got over

How I got over, over
My soul looks back in wonder how I got over
How I got over, over
My soul looks back in wonder how I got over, one more
You might also like
And I'ma wear a diadem (Oh yes)
In the new Jerusalem (Oh yes, oh yes)
I'ma walk me some streets of gold (Oh yes, oh yes, oh yes)
In the homeland of the soul (Oh yes)
I'm gonna view the Host in white (Oh yes)
Who travels both day and night (Oh yes, oh yes)
Coming up from every nation (Oh yes, oh yes, oh yes)
On the way to the great coronation (Oh yes)

I'm gon' sing (Hallelujah)
Ooh, I might shout this evening (Troubles over)
I'ma thank God for all He's done for me, yes, I am

How I got over, over
My soul looks back in wonder how I got over
How I got over, over
My soul looks back in wonder
My soul looks back in wonder
My soul looks back in wonder how I got over

I wanna thank you (Thank you)
Thank you, Jesus (Thank you)
Thank you, Jesus (Thank you)
Thank you, Lord (Thank you, Lord)
Thank you, Jesus (Thank you)
Jesus, woah (Thank you)
Jesus (Thank you, Lord)
Thank you for the love (Thank you)
Thank you, Lord (Thank you)
Thank you for the love (Thank you)
I thank you, Lord (Thank you)
Thank you for my good sisters (Thank you)
Thank you, Lord (Thank you)
I thank you for my brothers (Thank you)
Thank you, Lord (Thank you)
Thank you for just being with me, Jesus (Thank you)
Thank you, thank you, Lord (Thank you)
Thank you, Lord (Thank you)
All day (Thank you)
All night (Thank you)
All day (Thank you)
All night (Thank you)
Thank you, Jesus (Thank you)
Thank you, Lord (Thank you)
Thank you, Jesus (Thank you)
Thank you, my Lord, Jesus (Thank you)
Jesus (Thank you)
Jesus (Thank you)
Jesus (Thank you)
Jesus (Thank you)
Jesus (Thank you)
Jesus (Thank you)
Jesus (Thank you)
Jesus (Thank you)
Jesus (Thank you)
Thank you, Jesus (Thank you)
Jesus, oh (Thank you)
Thank you, Lord (Thank you)
Jesus (Thank you)
Thank you, Lord (Thank you)
I'm gonna sing (Hallelujah)
Lord, let me sing (Troubles over)
Because my soul looks back in wonder how I got over

How I got over, over
My soul looks back in wonder
My soul looks back in wonder
My soul looks back in wonder how I got over1Embed"
"Do Right Woman, Do Right Man",1967-02-10,Soul Queen,"15 ContributorsDo Right Woman, Do Right Man Lyrics
Take me to heart, and I'll always love you
And nobody can make me do wrong
Take me for granted, leaving love unshown
Makes willpower weak and temptation strong

A woman's only human
You should understand
She's not just a plaything
She's flesh and blood just like her man

If you want a do right, home days woman
(Do right, do right, do right, do right woman)
You've got to be a do right, home nights man
(Do right, do right, do right, do right man, man)

Yeah, yeah, they say that it's a man's world
But you can't prove that by me
And as long as we're together, baby
Show some respect for me

If you want a do right, home days woman
(Do right, do right, do right, do right woman)
You've got to be a do right, home nights man
(Do right, do right, do right, do right man, man)
You might also like
A woman's only human
You should understand
She's not just a plaything
She's flesh and blood just like her man

If you want a do right, home days woman
(Do right, do right, do right, do right woman)
You've got to be a do right, home nights man
(Why don't you? Why don't you? Why don't you? Why don't you?)
You got to be a do right, home nights man1Embed"
It Hurts Like Hell,1995-11-14,Waiting to Exhale: Original Soundtrack Album ,"5 ContributorsIt Hurts Like Hell Lyrics
Oh baby
Ohhhhh
Oh baby
Ohhhhh
Oh babe

Love was always supposed to be
Something wonderful to me
To watch it grow inside yourself
To feel your heart beside itself

Sometimes it hurts to love so bad
(When you know you've given all you can)
Sometimes it hurts to even laugh
(You do your best but it's still much too bad)
Sometimes the pain is just too much
And it hurts like hell
That's the way it feels

True love
It has no hiding place
It's not something you just put away
It's always there inside of you
Ohhh, and it shows in everything you do
You might also like
Sometimes it hurts to love so bad
(When you know you've given it your best)
Sometimes it hurts to even laugh
(You feel a thousand miles from happiness)
Sometimes the pain is just too much
And it hurts like hell
That's the way it feels

Here we are, the two of us
So full of love, so little trust
But dying for some tenderness
Ooohhh, but too afraid to take the step

Sometimes it hurts to love so bad
(When you know what it can put you through)
Sometimes it hurts to even laugh
(There's nothing funny if it's killing you)
Sometimes the pain is just too much
And it hurts like hell
That's the way it feels

I know if there is any chance
For us to find our happiness
We've got to learn to let it go
Ohhh oh, forget all the pain we knew
Sometimes it hurts to love so bad
Sometimes it hurts it hurts to even laugh
And it hurts like hell
That's the way
Oh baby
That's the way it feelsEmbed"
You’re All I Need to Get By,,Soul Queen,"7 ContributorsYou’re All I Need to Get By LyricsYou're all I need to get by
You're all I need to get by
You're all I need to get by
You're all I need to get by
You're all I need to get by
As long as I got you then baby you know that you got me, ohh!
Cause we got our love and some R-ah-E-S-P-E-C-T, ohh!
Like sweet morning dew I took one look at you
And it was plain to see, you where my destiny
With my arms open wide, I threw away my pride
I sacrificed for you, dedicated my life to you
I will go where you lead
I'll be right there in a time of need
And when I lose my will
You'll be right there to push me up that hill
There's no looking back for us (No there ain't baby!)
We've got our love and sho'nuff that's enough
You're all, you're all I need
You're all, you're all I need
You're all, you're all I need, baby baby, to get by
Like an eagle protects his nest, for you I'll do my best
Stand by you like a tree and dare anybody to try and move me
Darlin' in you I've found, strength where I was torn down
I don't know what's in store, but together we can open any door
You might also likeJust to do what's good for you, I'll inspire you a little bit higher
I know you can make a wo-man out of a soul that didn't have a goal
Cause we've, (yeah) we've got the right foundation
And with the love and determination (yes we do)
You're all, you're all I need
You're all, (Baby baby) You're all I need
You're all, you're all I need to get by
Yeah, yeah
As long as I got you then baby you know that you got me, ohh!
Cause we got our love and some R-ah-E-S-P-E-C-T, ohh!
As long as I got you then baby you know that you got me, ohh!
(You're all I need, you're all I need, you're all I need)Embed"
Until You Come Back to Me  (That’s What I’m Gonna Do),,30 Greatest Hits,"19 ContributorsUntil You Come Back to Me  (That’s What I’m Gonna Do) Lyrics
Though you don't call anymore
I sit and wait in vain
I guess I'll rap on your door (Your door)
Tap on your window pane (Tap on your window pane)
I want to tell you, baby
Changes I've been going through
Missing you, listen you

'Til you come back to me, that's what I'm gonna do

Why did you have to decide
You had to set me free?
I'm going to swallow my pride (My pride)
I'm going to beg you to please, baby please see me (Baby won't you see me?)
I'm going to walk by myself
Just to prove that my love is true
All for you baby

'Til you come back to me that's what I'm gonna do

Living for you, my dear
Is like living in a world of constant fear
Hear my plea (Hear my plea)
I've got to make you see (Make you see)
That our love is dying (Our love is dying)
You might also like
Although your phone you ignore
Somehow I must, somehow I must, how I must explain
I'm going to rap on your door (Your door)
Tap on your window pane (Tap on your window pane)
I'm going to camp by your steps
Until I get through to you (Uuuh)
I've got to change your view, baby

'Til you come back to me that's what I'm gonna do
'Til you come back to me that's what I'm gonna do
'Til you come back to me that's what I'm gonna do

I'm going to rap on your door (Rap on)
Tap on your window pane (Tap on)
Open out baby, I’m gonna rap on your door (Rap on)
Tap on your, tap on your (Tap on)
Tap on your, tap on your window pane (Tap on your window pane)
I’m going to rap on your door (Rap on)
I’m going to tap on your window pane (Tap on)
Open out baby, rap on your door1Embed"
Willing to Forgive,1994-02-22,Greatest Hits 1980-1994,"4 ContributorsWilling to Forgive Lyrics
I read her letters
And I saw her picture
And I smelled her cheap perfume
It must have come from you
How could you touch her?
Lay down beside her?
Well, there just ain't no excuse
You shouldn't have been so loose

I saw the telephone bill
You must be out of your mind
If you think you can smooth it over
Then you're wasting your time

Well, I'm willing to forgive you but I can't forget
'Cause you really, really, really, really hurt me this time
And I guess I can go on although I must admit
I've been busy, busy, busy, busy thinking that I'm gonna mess around some time

You're such a liar
You took her and her children
Out for the afternoon
While I was sittin' waitin' on you
How could you do it?
You should've been here with me
You just couldn't do it
You had to be in the streets
You might also like
Well, I heard through the grapevine
You've been messin' around
When you thought you were gettin' over
That's when a baby girl found out

Well, I'm willing to forgive you but I can't forget
'Cause you really, really, really, really hurt me this time
(You really hurt me)
And I guess I can go on although I must admit
I've been busy, busy, busy, busy thinking that I'm gonna mess around some time

I gave my heart, gave my time
Gave my soul 'cause love was blind
I can't explain this poor excuse
Of a man, of a boy who was born to lose
I paid the rent, washed your clothes
Cooked your food and only God knows
Only God knows why I stay with you
I guess (Guess I) I'm in love

Well, I'm willing to forgive you but I can't forget
(Oh, baby, I'm in love, I'm in love, I'm in love, I'm in love)
'Cause you really, really, really, really hurt me this time
(Ooh, you really hurt me this time, baby)
And I guess I can go on although I must admit (Although I must admit)
I've been busy, busy, busy, busy thinking that I'm gonna mess around some time
(I'm gonna mess around some time)
I gave my heart, gave my time
Gave my soul 'cause love was blind
I can't explain this poor excuse
Of a man, of a boy who was born to lose
I paid the rent, I washed your clothes
Cooked your food and only God knows
Only God knows why I stay with you
I guess I...I'm in love

Well, I'm willing to forgive you but I can't forget
'Cause you really, really, really, really hurt me this time
(Ooh, oh, baby, you hurt me, you hurt me)
And I guess I can go on although I must admit
I've been busy, busy, busy, busy thinking that I'm gonna mess around some time
Well, I'm willing to forgive you but I can't forget
(I'm willin', I'm willin' and able)
'Cause you really, really, really, really hurt me this time...Embed"
A Rose Is Still a Rose,1998-02-10,A Rose Is Still a Rose,"7 ContributorsA Rose Is Still a Rose Lyrics
Listen, dear
I realise that you've been hurt, deep
Because I've been there
But regardless to who, what, why, when and where
We're all precious in his sight
And a rose is still, and always will be, a rose
Doo doo doo doo doo doo mmm
Dooby dooby doo doo doo doo
Doo doo doo doo doo doo mmm

There was a rose I knew, I done met her once or twice before
She was a pretty sweet thing, not the least bit insecure
Then you came with your slick game and played with her youth
Unashamed of the way you lied and played with the truth, hey hey
She never knew what hit her, oh
Steal her honey, then forget her
Now the rose is scorned
She wears a thorn, tryin' to forget about you

'Cause a rose is still a rose
Baby girl, you're still a flower
He can't leave you and then take you
Make you and then break you
Darlin', you hold the power (what I am is what I am)
You might also like
Now believe me when I tell you that I've been hurt myself
When he tells you that he loves you, it's you, nobody else
And now you're so tough, tryin' to wear tight clothes and things
Tossin' and flossin', tryin' to fill the void heartbreak brings
Oh, oh, yeah
When she gets nearer
She's cryin', you can't hear her
Now the rose is scorned
She wears a thorn, tryin' to forget about you

'Cause a rose is still a rose
Baby girl, you're still a flower
He can't leave you and then take you
Make you and then break you
Baby girl, you hold the power (what I am is what I am)

See, a rose is still a rose
Baby girl, you're still a flower
He can't leave you and then take you
Make you and then break you
Darlin', you hold the power (what I am is what I am)

Let your life be in the sunshine
Not the darkness of your sorrow
You may see you're lost today
But new love will come tomorrow
Don't believe that life is over
Just because your man is gone
Girl, love yourself enough to know
That without him, your life goes on
Without him, your life goes on
And without him, your life goes on
'Cause a rose is still a rose
Baby girl, you're still a flower
He can't leave you and then take you
Make you and then break you
Baby girl, you hold the power (what I am is what I am)

See, a rose is still a rose
Baby girl, you're still a flower
He can't leave you and then take you
Make you and then break you
Darlin', you hold the power (what I am is what I am)2Embed"
