title,release_date,album,lyrics
Confident,2013-12-09,The Best (Japan Exclusive),"172 ContributorsTranslationsPortuguêsConfident Lyrics
Don't do it to me
Don't do it to me (Oh, no, no, oh, no, no)
Don't do it to me (Oh, no, no, oh, no, no)
Don't do it to me (Oh, no, no, oh, no, no)
Don't do it to me (Oh, no, no, oh, no, no)

Focused, I'm focused
She got a body like that, I ain't never seen nothin' like that, uh-uh
Like a fantasy in front of me, yeah
I think that somethin' special's goin' down
That's right, I think she foreign (Foreign)
I think she foreign (Foreign), got passports
Mi amor ('Mor) started slow (Slow), got faster
She gon' work some more (More), work some more (More)
No stoppin' her now (Now, now)
No stoppin' her now (Now, now, now, now)

Then she started dancing, sexual romancin'
Nasty but she fancy, lipstick on my satin sheets
What's your nationality? I wonder if there's more of you
She's got my attention, she's confident

Oh, no, no, oh, no, no, she's confident
Oh, no, no, oh, no, no, and I'm down with it
Oh, no, no, oh, no, no, she's confident
You could tell by the way she walks in the room
You might also like
She said it's her first time (Oh, yeah, yeah)
I think she might have lied
Feels so good, damn (Oh, yeah, yeah)
And I don't know why
I'm addicted (Oh, yeah, yeah)
Something like an addict
Got me twisted (Oh, yeah, yeah)
But still, I gotta have it

Explosive, explosive
I could still smell her perfume
It's not hard to notice that I'm open
Hypnotized by the way she moves

Then she started dancing, sexual romancin'
Nasty but she fancy, Mona Lisa masterpiece
What's your nationality? I wonder if there's more of you
She's got my attention, she's confident

Oh, no, no, oh, no, no, she's confident
Oh, no, no, oh, no, no, and I'm down with it
Oh, no, no, oh, no, no, she's confident
You could tell by the way she walks in the room
She said it's her first time (Oh, yeah, yeah)
I think she might have lied
Feels so good, damn (Oh, yeah, yeah)
And I don't know why (IGH!)
I'm addicted (Oh, yeah, yeah)
Something like an addict (Ooh-woo!)
Got me twisted (Oh, yeah, yeah)
But still, I gotta have it
Chance? The Rapper? IGH!

Tattoos, piercings and she just learned to twerk (Oh?)
She ain't got a heart or an ass, just her brains
Gotta ask 'cause her ass on a learning curve (Oh?)
And she love to hurn the berb, I mean burn the word
That's only legal with a doctor's note (Oh?)
Real deep pockets like a doctor's coat (IGH! IGH!)
Stay faded like Diddy, hair back tryna rock the boat
She the first mate when I rock the boat (IGH!)
She never forget to ride like a bicycle
She like planes, trains, chains with icicles
It goes her, blank, blank, and rock and roll (IGH!)
She say ""I know, honey bunny, that's the funny thing"" (Ooh!)
Thots twerk for the Goodfellas
She money dance with the money team, IGH!
She's confident
Oh, no, no, oh, no, no, she's confident
Oh, no, no, oh, no, no, and I'm down with it
Oh, no, no, oh, no, no, she's confident
You could tell by the way she walks in the room

She said it's her first time (Oh, yeah, yeah)
I think she might have lied
Feels so good, damn (Oh, yeah, yeah)
And I don't know why
I'm addicted (Oh, yeah, yeah)
Something like an addict
Got me twisted (Oh, yeah, yeah)
But still, I gotta have it

Still, I gotta have it (Yeah)
Still, I gotta have it (Alright)
Still, I gotta have it (Yeah, alright)
Oh, no, no, oh, no, no, oh, no, no (Yeah)
Oh, no, no, oh, no, no, oh, no, no (Alright)
Oh, no, no, oh, no, no, oh, no, no (Yeah)
Oh, no, no, oh, no, no
But still, I gotta have it404Embed"
Ghost,2021-03-19,Justice (Complete Edition),"116 ContributorsTranslationsDeutschTürkçeEspañolPortuguêsGhost Lyrics
Youngblood thinks there's always tomorrow
I miss your touch some nights when I'm hollow
I know you crossed a bridge that I can't follow
Since the love that you left is all that I get, I want you to know

That if I can't be close to you
I'll settle for the ghost of you
I miss you more than life (More than life)
And if you can't be next to me
Your memory is ecstasy
I miss you more than life
I miss you more than life

Youngblood thinks there's always tomorrow
I need more time, but time can't be borrowed
I'd leave it all behind if I could follow
Since the love that you left is all that I get, I want you to know

That if I can't be close to you
I'll settle for the ghost of you
I miss you more than life (Yeah)
And if you can't be next to me
Your memory is ecstasy (Oh)
I miss you more than life
I miss you more than life
You might also like
Woah
Na-na-na
More than life (Oh)

So if I can't get close to you
I'll settle for the ghost of you
I miss you more than life
And if you can't be next to me
Your memory is ecstasy
I miss you more than life
I miss you more than life19Embed"
Mistletoe,2011-10-17,Under The Mistletoe (Japan Edition),"57 ContributorsTranslationsEspañolPortuguêsMistletoe Lyrics
It's the most beautiful time of the year
Lights fill the streets, spreading so much cheer
I should be playing in the winter snow
But I'ma be under the mistletoe
I don't wanna miss out on the holiday
But I can't stop staring at your face
I should be playing in the winter snow
But I'ma be under the mistletoe

(With you) Shawty, with you
(With you) Shawty, with you
(With you) Under the mistletoe

Everyone's gathering around the fire
Chestnuts roasting like a hot July
I should be chilling with my folks, I know
But I'ma be under the mistletoe
Word on the street, Santa's coming tonight
Reindeer's flying through the sky so high
I should be making a list, I know
But I'ma be under the mistletoe

(With you) Shawty, with you
(With you) Shawty, with you
(With you) Under the mistletoe
(With you) Shawty, with you
(With you) Shawty, with you
(With you) Under the mistletoe
You might also like
Ayy love, the wise men followed the star
The way I followed my heart
And it led me to a miracle
Ayy love, don't you buy me nothing
'Cause I am feeling one thing, your lips on my lips
That's a merry, merry Christmas

It's the most beautiful time of the year
Lights fill the streets, spreading so much cheer
I should be playing in the winter snow
But I'ma be under the mistletoe
I don't wanna miss out on the holiday
But I can't stop staring at your face
I should be playing in the winter snow
But I'ma be under the mistletoe

(With you) Shawty, with you
(With you) Shawty, with you
(With you) Under the mistletoe, yeah
(With you) Shawty, with you
(With you) Shawty, with you
(With you) Under the mistletoe (Under the mistletoe)
Kiss me underneath the mistletoe
Show me, baby, that you love me so-oh-oh, oh, oh, oh
Kiss me underneath the mistletoe
Show me, baby, that you love me so-oh-oh, oh, oh, oh25Embed"
Anyone,2021-01-01,Justice (Complete Edition),"97 ContributorsTranslationsTürkçeEspañolPortuguêsItalianoDeutschفارسیAnyone Lyrics
Dance with me under the diamonds
See me like breath in the cold
Sleep with me here in the silence
Come kiss me, silver and gold

You say that I won't lose you, but you can't predict the future
So just hold on like you will never let go
Yeah, if you ever move on without me
I need to make sure you know that

You are the only one I'll ever love (I gotta tell ya, gotta tell ya)
Yeah, you, if it's not you, it's not anyone (I gotta tell ya, gotta tell ya)
Lookin' back on my life, you're the only good I've ever done (Ever done)
Yeah, you, if it's not you, it's not anyone (Anyone)
Not anyone

Forever's not enough time to (Oh)
Love you the way that I want (Love you the way that I want)
'Cause every mornin', I'll find you (Oh)
I fear the day that I don't

You say that I won't lose you, but you can't predict the future
'Cause certain things are out of our control
Yeah, if you ever move on without me
I need to make sure you know that
You might also like
You are the only one I'll ever love (Only one, I gotta tell ya, gotta tell ya)
Yeah, you, if it's not you, it's not anyone (I gotta tell ya, gotta tell ya)
Lookin' back on my life, you're the only good I've ever done (I've ever done)
Yeah, you, if it's not you, it's not anyone, it's not anyone

Not anyone (Oh-oh-oh-oh)
If it's not you, it's not anyone (Oh-oh-oh-oh)
Oh yeah, woah

Yeah, you are the only one I'll ever love (I gotta tell ya, gotta tell ya)
Yeah, you, if it's not you, it's not anyone (I gotta tell ya, gotta tell ya)
Lookin' back on my life, you're the only good I've ever done (Ever done)
Yeah, you, if it's not you, it's not anyone35Embed"
I’ll Show You,2015-11-02,Purpose [Japanese Edition],"77 ContributorsTranslationsEspañolPortuguêsTürkçeFrançaisI’ll Show You Lyrics
My life is a movie
And everyone's watching
So let's get to the good part
And past all the nonsense

Sometimes it's hard to do the right thing
When the pressure's coming down like lightning
It's like they want me to be perfect
When they don't even know that I'm hurting

'Cause life's not easy, I'm not made out of steel
Don't forget that I'm human, don't forget that I'm real
Act like you know me, but you never will
But there's one thing that I know for sure

I'll show you
I'll show you
I'll show you
I'll show you

I've got to learn things
Learn them the hard way
Got to see what it feels like
No matter what they say
You might also like
Sometimes it's hard to do the right thing
When the pressure's coming down like lightning
It's like they want me to be perfect
When they don't even know that I'm hurting

'Cause life's not easy, I'm not made out of steel
Don't forget that I'm human, don't forget that I'm real
Act like you know me, but you never will
But there's one thing that I know for sure

I'll show you
I'll show you
I'll show you
I'll show you

'Cause life's not easy, I'm not made out of steel
Don't forget that I'm human, don't forget that I'm real
Act like you know me, but you never will
There's one thing that I know for sure

I'll show you
I'll show you, woah
46Embed"
Mark My Words,2015-11-13,Purpose [Japanese Edition],"48 ContributorsTranslationsEspañolPortuguêsMark My Words Lyrics
Mark my words, that's all that I have
Mark my words, give you all I got
In every way I will
You're the only reason why
Oh, I don't wanna live a lie
Mark my words
Mark my words

So you heard it all before
Falling in and out of trust
Trying to rekindle us
Only to lose yourself
But I won't let me lose you
And I won't let us just fade away
After all that we've been through
I'ma show you more than I ever could say

Mark my words, that's all that I have
Mark my words, give you all I got
In every way I will
You're the only reason why
Oh, I don't wanna live a lie
Mark my words
Mark my wordsYou might also like16Embed"
Purpose,2015-11-13,Purpose [Japanese Edition],"78 ContributorsTranslationsEspañolPurpose Lyrics
Feeling like I'm breathing my last breath
Feeling like I'm walking my last steps
Look at all of these tears I've wept
Look at all the promises that I've kept

I put my all into your hands
Here's my soul to keep
I let you in with all that I can
You're not hard to reach

And you bless me with the best gift
That I've ever known
You give me purpose
Yeah, you've given me purpose

Thinking my journey's come to an end
Sending out a farewell to my friends, for inner peace
Ask you to forgive me for my sins, oh would you please?
I'm more than grateful for the time we spent, my spirit's at ease

I put my heart into your hands
Learn the lessons you teach
No matter when, wherever I am
You're not hard to reach
You might also like
And you've given me the best gift
That I've ever known
You give me purpose everyday
You give me purpose in every way

Oh, you are my everything
Oh, you are my everything

I don’t know if this is wrong, because someone else is telling me that it’s wrong. But I feel this so let me just like try my best not to let this happen again.  We weren’t necessarily put in the best position to make the best decisions
You can’t be hard on yourself for it, these are the cards you were given so you have to understand that’s not who you are. You know you’re trying to be the best you can be, but that’s all you can do. If you don’t give it all you got, you’re only cheating yourself give it all you got but if it ends up happening, it ends up happening
That’s what happening with me, it’s like “God, I’m giving it all I’ve got, sometimes I’m weak and I’m going to do it.” And it’s like I’m not giving myself grace, I’m just like understanding that’s how it is27Embed"
Boyfriend,2012-03-26,The Best (Japan Exclusive),"103 ContributorsTranslationsTürkçeDeutschBoyfriend Lyrics
If I was your boyfriend, I'd never let you go
I could take you places you ain’t never been before
Baby, take a chance, or you'll never ever know
I got money in my hands that I'd really like to blow
Swag swag swag, on you
Chillin' by the fire while we eating fondue
I don't know about me, but I know about you
So say hello to falsetto in three, two, swag

I'd like to be everything you want
Hey girl, let me talk to you

If I was your boyfriend, I'd never let you go
Keep you on my arm, girl, you'd never be alone
And I can be a gentleman, anything you want
If I was your boyfriend, I'd never let you go, I'd never let you go

Tell me what you like, yeah, tell me what you don't
I could be your Buzz Lightyear, fly across the globe
I don't never wanna fight, yeah, you already know
I'ma make you shine bright, like you’re laying in the snow, burr
Girlfriend, girlfriend, you could be my girlfriend
You could be my girlfriend until the-the-the world ends
Make you dance, do a spin, and a twirl, and
Voice goin' crazy on this hook, like a whirl wind
Swaggy
You might also like
I'd like to be everything you want
Hey girl, let me talk to you

If I was your boyfriend, I'd never let you go
Keep you on my arm, girl, you'd never be alone
And I can be a gentleman, anything you want
If I was your boyfriend, I'd never let you go, I'd never let you go

So give me a chance 'cause you're all I need, girl
Spend a week with your boy, I'll be calling you my girlfriend
If I was your man (If I was your man), I'd never leave you, girl
I just wanna love and treat you right
If I was your boyfriend, I'd never let you go (Oh yeah)
Keep you on my arm, girl, you'd never be alone (Never be alone)
And I could be a gentleman (A gentleman, ooh), anything you want
If I was your boyfriend (Boyfriend), I'd never let you go
I'd never let you go (If I was your boyfriend)

(Uh) Na-na-na (Yeah), na-na-na, (Uh) na-na-na, yeah, girl
(Uh) Na-na-na (Yeah), na-na-na, yeah, if I was your boyfriend
(Uh) Na-na-na (Yeah), na-na-na, (Uh) na-na-na, hey
(Uh) Na-na-na (Yeah), na-na-na, hey, if I was your boyfriend56Embed"
Company,2016-03-08,Purpose [Japanese Edition],"58 ContributorsCompany Lyrics
Can we, we keep
Keep each other company?
Maybe we, can be
Be each other's company
Oh company

Let's end each other's lonely nights
Be each other's paradise
Need a picture for my frame
Someone to share my reign
Tell me what you wanna drink
I'll tell you what I got in mind
Oh, I don't know your name
But I feel like that's gonna change

You ain't gotta be my lover
For you to call me baby
Never been about no pressure
Ain't that serious

Can we, we keep
Keep each other company? (Oh)
Maybe we, can be
Be each other's company
Oh company
You might also like
Oooooooooh
Oooooooooh
Oooooooooh
Oooooooooh

It ain't about the complications
I'm all about the elevation
We can keep it goin' up
Oh, don't miss out on us
Just wanna have a conversation
Forget about the obligations
Maybe we can stay in touch
Oh that ain't doin' too much

You ain't gotta be my lover
For me to call you baby
Never been about no pressure
Ain't that serious, no

Can we, we keep
Keep each other company?
Maybe we, can be
Be each other's company
Oh company
Yeah yeah
Oooooooooooh
Oooooooooooh
Oooooooooooh
Oooooooooooh

Can we be, can we be
Be each other's company?
Be each other's company (Oh)
Just be each other's company
Be each others company (Oh, oh-oh-oh)
Can we, we keep
Keep each other company? (Oh)
Maybe we, can be
Be each other's company
Oh company30Embed"
All That Matters,2013-10-14,The Best (Japan Exclusive),"72 ContributorsAll That Matters Lyrics
Oh-oh, just as sure as the stars in the sky
I need you to shine in my life
Not just for the meanwhile, for a long, long time
Better believe it
Oh-oh, whenever you're not in my presence
It feels like I'm missing my blessings, yeah
So I sleep through the daylight, stay awake all night
'Til you're back again, oh, yeah, yeah
You think I'm biased to my significant other
You hit it right on the head, only been missing my lover
Got a whole lot of texts in my phone, and I don't reply
But the next eight bars tell you why

You're all that matters to me, yeah, yeah
Ain't worried about nobody else
If I ain't with you, I'm with myself
You make me complete
You're all that matters to me, yeah, yeah
What's a king, babe, without a queen?
There ain't no ""I"" in team
You make me complete, you're all that matters to me

Take the gas out the car, it won't drive
That's how I feel when you're not by my side
When I wake up in the morning up under you
And only you
Oh-oh, I'm grateful for your existence
Faithful no matter the distance
You're the only girl I see
From the bottom of my heart, please believe
You might also like
You're all that matters to me, yeah, yeah
Ain't worried about nobody else
If I ain't with you, I'm with myself
You make me complete
You're all that matters to me, yeah, yeah
What's a king, babe, without a queen?
There ain't no ""I"" in team
You make me complete, you're all that matters to me

Yeah, yeah, yeah, yeah
You're all that matters to me
Yeah, yeah, yeah, yeah
You're all that matters to me237Embed"
