title,release_date,album,lyrics
Blue Suede Shoes,1956-08-31,If I Can Dream: The Very Best of Elvis,"38 ContributorsBlue Suede Shoes Lyrics
Well, it's one for the money, two for the show
Three to get ready, now go, cat, go

But don't you step on my blue suede shoes
Well, you can do anything, but stay off of my blue suede shoes

Well, you can knock me down, step in my face
Slander my name all over the place
Well, do anything that you wanna do
But, uh-uh, honey, lay off of them shoes

And don't you step on my blue suede shoes
Well, you can do anything, but stay off of my blue suede shoes
Let's go, cat!

Ah, walk the dog

You can burn my house, steal my car
Drink my liquor from an old fruit jar
Well, do anything that you want to do
But, uh-uh, honey, lay off of my shoes
You might also like
And don't you step on my blue suede shoes
Well, you can do anything, but lay off of my blue suede shoes
Rock it

Yeah!

Well, it's one for the money, two for the show
Three to get ready, now go, go, go

But don't you step on my blue suede shoes
Well, you can do anything, but lay off of my blue suede shoes

Well, it's blue, blue, blue suede shoes
Blue, blue, blue suede shoes, yeah
Blue, blue, blue suede shoes, baby
Blue, blue, blue suede shoes
Well, you can do anything, but lay off of my blue suede shoes6Embed"
Are You Lonesome Tonight?,1960-11-01,If I Can Dream: The Very Best of Elvis,"35 ContributorsAre You Lonesome Tonight? Lyrics
Are you lonesome tonight? Do you miss me tonight?
Are you sorry we drifted apart?
Does your memory stray to a brighter summer day
When I kissed you and called you sweetheart?

Do the chairs in your parlor seem empty and bare?
Do you gaze at your doorstep and picture me there?
Is your heart filled with pain? Shall I come back again?
Tell me, dear, are you lonesome tonight?

I wonder if you are lonesome tonight
You know someone said that the world's a stage, and each must play a part
Fate had me playing in love with you as my sweetheart
Act one was where we met
I loved you at first glance
You read your lines so cleverly and never missed a cue
Then came act two
You seemed to change, you acted strange
And why I've never known
Honey, you lied when you said you loved me
And I had no cause to doubt you
But I'd rather go on hearing your lies
Than to go on living without you
Now the stage is bare, and I'm standing there
With emptiness all around
And if you won't come back to me
Then they can bring the curtain down
You might also like
Is your heart filled with pain? Shall I come back again?
Tell me, dear, are you lonesome tonight?5Embed"
Blue Christmas,1957-10-15,The King Of Rock ‘N’ Roll: The Complete 50's Masters CD3,"37 ContributorsBlue Christmas Lyrics
I'll have a blue Christmas without you
I'll be so blue just thinking about you
Decorations of red on a green Christmas tree
Won't be the same, dear, if you're not here with me

And when those blue snowflakes start fallin'
That's when those blue memories start callin'
You'll be doin' all right with your Christmas of white
But I'll have a blue, blue, blue, blue Christmas


You'll be doin' all right with your Christmas of white
But I'll have a blue, blue, blue, blue ChristmasYou might also like12Embed"
Always On My Mind,, Walk a Mile in My Shoes: The Essential ’70s Masters,"26 ContributorsAlways On My Mind Lyrics
Maybe I didn't treat you
Quite as good as I should have
Maybe I didn't love you
Quite as often as I could have

Little things I should have said and done
I just never took the time

You were always on my mind
(You were always on my mind)
You were always on my mind

Maybe I didn't hold you
All those lonely, lonely times
And I guess I never told you
I'm so happy that you're mine

If I made you feel second best
Girl, I'm so sorry I was blind

You were always on my mind
(You were always on my mind)
You were always on my mind
You might also like
Tell me
Tell me that your sweet love hasn't died
Give me
Give me one more chance to keep you satisfied, satisfied

Little things I should have said and done
I just never took the time

You were always on my mind
(You were always on my mind)
You were always on my mind
You were always on my mind

Maybe I didn't treat you
Quite as good as I should have
Maybe I didn't love you
Quite as often as I could have
Maybe I didn't hold you
All those lonely, lonely times
And I guess I never told you
I'm so happy that you're mine
Maybe I didn't treat you
Quite as good as I should have13Embed"
Burning Love,1972-08-01, Walk a Mile in My Shoes: The Essential ’70s Masters,"35 ContributorsBurning Love Lyrics
Lord Almighty
I feel my temperature rising
Higher higher
It's burning through to my soul
Girl, girl, girl, girl
You're gonna set me on fire
My brain is flaming
I don't know which way to go

Your kisses lift me higher
Like a sweet song of a choir
You light my morning sky
With burning love

Ooh, ooh, ooh
I feel my temperature rising
Help me, I'm flaming
I must be a hundred and nine
Burning, burning, burning
And nothing can cool me
I just might turn into smoke
But I feel fine
You might also like
'Cause your kisses lift me higher
Like a sweet song of a choir
And you light my morning sky
With burning love

It's coming closer
The flames are now licking my body
Won't you help me
I feel like I'm slipping away
It's hard to breathe
And my chest is a-heaving
Lord, have mercy
I'm burning a hole where I lay

Your kisses lift me higher
Like the sweet song of a choir
You light my morning sky
With burning love
With burning love
(Ah, ah, burning love)

I'm just a hunk, a hunk of burning love
Just a hunk, a hunk of burning love
Just a hunk, a hunk of burning love
Just a hunk, a hunk of burning love
Just a hunk, a hunk of burning love
Just a hunk, a hunk of burning love
Just a hunk, a hunk of burning love
Just a hunk, a hunk of burning love
Just a hunk, a hunk of burning love
Just a hunk, a hunk of burning love
Just a hunk, a hunk of burning love7Embed"
Don’t Be Cruel,1956-07-13,If I Can Dream: The Very Best of Elvis,"24 ContributorsTranslationsSuomiDon’t Be Cruel Lyrics
You know I can be found
Sitting home all alone
If you can't come around
At least please telephone

Don't be cruel to a heart that's true

Baby, if I made you mad
For something I might have said
Please, let's forget my past
The future looks bright ahead

Don't be cruel to a heart that's true

I don't want no other love
Baby, it's just you I'm thinkin' of
Mmmm

Don't stop thinking of me
Don't make me feel this way
C'mon over here and love me
You know what I want you to say
You might also like
Don't be cruel to a heart that's true

Why should we be apart?
I really love you, baby, cross my heart

Let's walk up to the preacher
And let us say, ""I do""
Then you'll know you'll have me
And I'll know that I'll have you

Don't be cruel to a heart that's true

I don't want no other love
Baby, it's just you I'm thinkin' of

Don't be cruel to a heart that's true
Don't be cruel to a heart that's true

I don't want no other love
Baby, it's just you I'm thinkin' of9Embed"
(You’re the) Devil in Disguise,1963-06-18,If I Can Dream: The Very Best of Elvis,"22 Contributors(You’re the) Devil in Disguise Lyrics
You look like an angel (Look like an angel)
Walk like an angel (Walk like an angel)
Talk like an angel
But I got wise

You're the devil in disguise
Oh, yes you are
The devil in disguise, mmm
You fooled me with your kisses
You cheated and you schemed
Heaven knows how you lied to me
You're not the way you seemed

You look like an angel (Look like an angel)
Walk like an angel (Walk like an angel)
Talk like an angel
But I got wise

You're the devil in disguise
Oh, yes you are
The devil in disguise, mmm, ah
I thought that I was in heaven
But I was sure surprised
Heaven help me, I didn't see
The devil in your eyes
You might also like
You look like an angel (Look like an angel)
Walk like an angel (Walk like an angel)
Talk like an angel
But I got wise

You're the devil in disguise
Oh, yes you are
The devil in disguise, mmm


You're the devil in disguise
Oh, yes you are
The devil in disguise, mmm (Oh, yes you are)
The devil in disguise
Oh, yes you are
Devil in disguise (Oh, yes you are)
The devil in disguise7Embed"
My Way,1973-01-14, Walk a Mile in My Shoes: The Essential ’70s Masters,"15 ContributorsMy Way Lyrics
And now the end is near
So I face the final curtain
My friend, I'll say it clear
I'll state my case of which I'm certain

I've lived a life that's full
I've traveled each and every highway
And more, much more than this
I did it my way

Regrets, I've had a few
But then again, too few to mention
I did what I had to do
And saw it through without exception

I planned each charted course
Each careful step along the byway
Oh, and more, much more than this
I did it my way

Yes, there were times, I'm sure you knew
When I bit off more than I could chew
But through it all when there was doubt
I ate it up and spit it out
I faced it all and I stood tall
And did it my way
You might also like
I've loved, I've laughed and cried
I've had my fill, my share of losing
And now as tears subside
I find it all so amusing
To think I did all that
And may I say, not in a shy way
Oh, no, no not me
I did it my way

For what is a man, what has he got
If not himself, then he has not
To say the words he truly feels
And not the words of one who kneels
The record shows I took the blows
And did it my way
The record shows I took the blows
And did it my way3Embed"
All Shook Up,1957-03-22,If I Can Dream: The Very Best of Elvis,"26 ContributorsAll Shook Up Lyrics
Uh, well, a-bless my soul, what's wrong with me?
I'm itchin' like a man on a fuzzy tree
My friends say I'm actin' wild as a bug
I'm in love, I'm all shook up
Mm, ooh, yeah, yeah-yay

Well, my hands are shaky, and my knees are weak
I can't seem to stand on my own two feet
Who do you thank when you have such luck?
I'm in love, I'm all shook up
Mm, ooh, yeah, yeah-yay

Well, please don't ask me what's on my mind
I'm a little mixed up, but I feel fine
When I'm near the girl that I love best
My heart beats so it scares me to death

When she touched my hand, what a chill I got
Her lips are like a volcano that's hot
I'm proud to say that she's my buttercup
I'm in love, I'm all shook up
Mm, ooh, yeah, yeah-yay
You might also like
My tongue gets tied when I try to speak
My insides shake like a leaf on a tree
There's only one cure for this body of mine
That's to have that girl that I love so fine

She touched my hand, what a chill I got
Her lips are like a volcano that's hot
I'm proud to say that she's my buttercup
I'm in love, uh, I'm all shook up
Mm, ooh, yeah, yeah-yay

Mm, ooh, yeah, yeah
I'm all shook up7Embed"
An American Trilogy,1972-04-04, Walk a Mile in My Shoes: The Essential ’70s Masters,"16 ContributorsAn American Trilogy Lyrics
Oh, I wish I was in the land of cotton
Old times they are not forgotten
Look away, look away, look away Dixieland
Oh, I wish I was in Dixie, away, away
In Dixieland I take my stand to live and die in Dixie
For Dixieland, that's where I was born
Early Lord one frosty morning
Look away, look away, look away Dixieland

Glory, glory hallelujah
Glory, glory hallelujah
Glory, glory hallelujah
His truth is marching on

So hush little baby
Don't you cry
You know your daddy's bound to die
But all my trials, Lord, will soon be over


Glory, glory hallelujah
His truth is marching on
His truth is marching onYou might also like4Embed"
