title,release_date,album,lyrics
4 Minutes,2008-03-17,Celebration,"44 ContributorsTranslationsItalianoPortuguês4 Minutes Lyrics
I'm outta time, and all I got is four minutes
Fikki fikki, four minutes, aye
I'm outta time, and all I got is four minutes
Fikki fikki, four minutes, aye
I'm outta time, and all I got is four minutes (Four, four)
Fikki fikki, four minutes, aye
I'm outta time, and all I got is four minutes (Four, four)
Fikki fikki, four minutes, aye
I'm outta time, and all I got is four minutes (Four, four)
Fikki fikki, four minutes, aye
I'm outta time, and all I got is four minutes (Four, four)
Fikki fikki, four minutes, aye
I'm outta time, and all I got is four minutes (Four, four)
Fikki fikki, four minutes, aye
I'm outta time, and all I got is four minutes (Four, four)
Fikki fikki, ow, ow, c'mon
Ah, yeah, ha
Breakdown, c'mon

Hey, uh, c'mon, Madonna

C'mon, boy
I've been waiting for somebody to pick up my stroll, ah
Ah, well, don't waste time
Give me a sign, tell me how you wanna roll, mmm
I want somebody to speed it up for me, then take it down slow
There's enough room for both
Well, I can handle that, you just gotta show me where it's at
Are you ready to go? Are you ready to go?
(Fikki fikki, fikki fikki, come on)
You might also like
If you want it, you already got it
If you thought it, it better be what you want (Fikki, fikki, ow)
If you feel it, it must be real just
Say the word, and I'ma give you what you want

Time is waiting
We only got four minutes to save the world
No hesitating
Grab a boy, then grab a girl
Time is waiting
We only got four minutes to save the world
No hesitating
We only got four minutes, heh, a-four minutes

So keep it up, keep it up
Don't be a pri-hey-madonna, uh
You gotta get in line, hop
(Tick tock, tick tock, tick tock)
That's right, keep it up, keep it up
Don't be a pri-hey-madonna, uh
You gotta get in line, hop
(Tick tock, tick tock, tick tock)
Sometimes I think what I need is a ""you"" intervention, yeah
Ah, and you know I can tell that you like it
And that it's good, by the way that you move, oh, hey
The road to hell is paved with good intentions, yeah
But if I die tonight, at least I can say I did what I wanted to do
Tell me, how 'bout you?

(Fikki, fikki, ow)
If you want it, you already got it
If you thought it, it better be what you want (Come on)
If you feel it, it must be real, just
Say the word, and I'ma give you what you want

The time is waiting
We only got four minutes to save the world
No hesitating
Grab a boy, then grab a girl
Time is waiting
We only got four minutes to save the world
No hesitating
We only got four minutes, heh, a-four minutes

So keep it up, keep it up
Don't be a pri-hey-madonna, uh
You gotta get in line, hop
(Tick tock, tick tock, tick tock)
That's right, keep it up, keep it up
Don't be a pri-hey-madonna, uh
You gotta get in line, hop
(Tick tock, tick tock, tick tock)
Breakdown
Yeah
(Tick tock, tick tock, tick tock)
Yeah, uh
(Tick tock, tick tock, tick tock)
I only got four minutes, to save the world12Embed"
Music,2000-08-21,Celebration,"38 ContributorsTranslationsPortuguêsItalianoMusic Lyrics
Hey Mr. DJ, put a record on
I wanna dance with my baby

Do you like to?
Boogie-woogie, do you like to?
Boogie-woogie, do you like to?
Boogie-woogie, do you like my acid rock?

Hey Mr. DJ, put a record on
I wanna dance with my baby
And when the music starts, I never wanna stop
It's gonna drive me crazy

Music, music, music, music
Music, music, music, music, music

Music, makes the people come together
Music, mix the bourgeoisie and the rebel

Don't think of yesterday and I don't look at the clock
I like to boogie-woogie (Uh-uh!)
It's like ridin' on the wind and it never goes away
Touches everything I'm in, got to have it every day
You might also like
Music, makes the people come together, yeah
Music, mix the bourgeoisie and the rebel

Hey, Mr. DJ

Do you like to?
Boogie-woogie, do you like to?
Boogie-woogie, do you like to?
Boogie-woogie, do you like my acid rock?

Hey Mr. DJ, put a record on
I wanna dance with my baby
And when the music starts, I never wanna stop
It's gonna drive me crazy (Uh-uh-uh)

Music, makes the people come together, yeah
Music, mix the bourgeoisie and the rebel

Do you like to?
Boogie-woogie, do you like to?
Boogie-woogie, do you like to?
Boogie-woogie, do you like my acid rock?
Do you like to?
Boogie-woogie, do you like to?
Boogie-woogie, do you like to?
Boogie-woogie, do you like my acid rock?7Embed"
Express Yourself,1989-03-21,Celebration (Single Disc Edition),"35 ContributorsTranslationsPortuguêsItalianoExpress Yourself Lyrics
(Hoo!)
(Hoo!)
Come on, girls!
Do you believe in love?
'Cause I got something to say about it
And it goes something like this

Don't go for second best, baby
Put your love to the test
You know, you know, you've got to
Make him express how he feels
And maybe then you'll know your love is real

You don't need diamond rings
Or eighteen karat gold
Fancy cars that go very fast
You know they never last, no no
What you need is a big strong hand
To lift you to your higher ground
Make you feel like a queen on a throne
Make him love you 'til you can't come down
(You'll never come down)
You might also like
Don't go for second best, baby
Put your love to the test
You know, you know, you've got to
Make him express how he feels
And maybe then you'll know your love is real

Long stem roses are the way to your heart
But he needs to start with your head
Satin sheets are very romantic
What happens when you're not in bed?
You deserve the best in life
So if the time isn't right, then move on
Second best is never enough
You'll do much better, baby, on your own
(Baby, on your own)

Don't go for second best, baby
Put your love to the test
You know, you know, you've got to
Make him express how he feels
And maybe then you'll know your love is real
Express yourself
You've got to make him express himself
Hey, hey, hey, hey
So if you want it right now, make him show you how
Express what he's got, oh baby, ready or not
And when you're gone he might regret it
Think about the love he once had
Try to carry on, but he just won't get it
He'll be back on his knees
To express himself
You've got to make him express himself
Hey, hey

What you need is a big strong hand
To lift you to your higher ground
Make you feel like a queen on a throne
Make him love you 'til you can't come down
(You'll never come down)

And when you're gone he might regret it
Think about the love he once had
Try to carry on, but he just won't get it
He'll be back on his knees, so please

Don't go for second best, baby
Put your love to the test
You know, you know, you've got to
Make him express how he feels
And maybe then you'll know your love is real
Express yourself
You've got to make him express himself
Hey, hey, hey, hey
So if you want it right now, make him show you how
Express what he's got, oh baby, ready or not
Express yourself
(You've got to make him) So you can respect yourself
Hey, hey
So if you want it right now, make him show you how
Express what he's got, oh baby, ready or not
Express yourself9Embed"
Ray of Light,1998-04-27,Celebration (Single Disc Edition),"35 ContributorsTranslationsPortuguêsItalianoУкраїнськаRay of Light Lyrics
Zephyr in the sky at night, I wonder
Do my tears of mourning sink beneath the sun?
She's got herself a universe gone quickly
For the call of thunder threatens everyone

And I feel like I just got home
And I feel
And I feel like I just got home
And I feel

Faster than the speeding light she's flying
Trying to remember where it all began
She's got herself a little piece of heaven
Waiting for the time when Earth shall be as one

And I feel like I just got home
And I feel
And I feel like I just got home
And I feel

Quicker than a ray of light
Quicker than a ray of light
Quicker than a ray of light
You might also like
Zephyr in the sky at night, I wonder
Do my tears of mourning sink beneath the sun?
She's got herself a universe gone quickly
For the call of thunder threatens everyone

And I feel
Quicker than a ray of light, then gone for
Someone else will be there
Through the endless years

She's got herself a universe
She's got herself a universe
She's got herself a universe
And I feel
And I feel
And I feel like I just got home
And I feel
Quicker than a ray of light, she's flying
Quicker than a ray of light, I'm flying11Embed"
God Control,2019-06-14,Madame X (International Deluxe),"55 ContributorsTranslationsPortuguêsItalianoGod Control Lyrics
Everybody knows the damn truth
Our nation lied, we lost respect
When we wake up, what can we do?
Get the kids ready, take them to school
Everybody knows they don’t have a chance
To get a decent job, to have a normal life
When they talk reforms, it makes me laugh
They pretend to help, it makes me laugh
I think I understand why peopl﻿e get a gun
I think I understand why we all give up
Every day they have a kind of victory
Blood of innocence, spread everywhe﻿re
They say that we need love
But we need more than this

We lost God control
We lost God control
We lost God control
We lost God control

This is your wake-up call
I'm like your nightmare
I'm here to start your day
This is your wake-up call
We don’t have to fall
A new democracy
God and pornography
A new democracy
You might also like
People think that I’m insane
The only gun is in my brain
Each new birth, it gives me hope
That’s why I don’t smoke that dope
Insane people think I am
Brain inside my only friend
Hope it gives me birth each new
That dope I don’t smoke, it’s true

Everybody knows the damn truth
Everybody knows the damn truth (Wake u﻿p)
We need to wake up, wake up, wake up, wake up, wake up, wake up, wake up, wake up, wake up, wake up
We need to make up, make up, make up, make up, make up, make up, make up, make up, make up, make up
It’s a hustle, yeah
It’s a hustle
It’s a con
It’s a hustle
It’s a weird kind of energy, a bizarre thing that happens to be
An abnormal fraternity, and I feel more than sympathy
We got to wake up, wake up, wake up, wake up, wake up, wake up, wake up, wake up, wake up, wake up
We need to make up, make up, make up, make up, make up, make up, make up, make up, make up, make up

People think that I’m insane
The only gun is in my brain
Each new birth, it gives me hope
That’s why I don’t smoke that dope
Insane people think I am
Brain inside my only friend
Hope it gives me birth each new
That dope I don’t smoke, it’s true
Everybody knows the damn truth
Everybody knows the damn truth
We got to wake up, wake up, wake up, wake up, wake up, wake up, wake up, wake up, wake up, wake up
(Wake up)
Ah (Ah), Ah (Ah)

A new democracy!

Everybody knows the damn truth
Our nation lied, we’ve lost respect
When we wake up, what can we do
Get the kids ready, take them to school
Everybody knows they don’t have a chance
Get a decent job, have a normal life
When they talk reforms﻿, it makes me laugh
They pretend to help, it makes me laugh

We lost God control
We lost God control
We lost God control
We lost God control
We lost God control
(Wake up, wake up, wake up, wake up, wake up, wake up, wake up, wake up, wake up, wake up, wake up, wake up, wake up, wake up, wake up, wake up, wake up, wake up, wake up, wake up, wake up, wake up, wake up, wake up, wake up, wake up, wake up, wake up, wake up)30Embed"
Dark Ballet,2019-06-07,Madame X (International Deluxe),"48 ContributorsTranslationsPortuguêsItalianoPolskiDark Ballet Lyrics
It's a beautiful life, but I'm not concerned
It's a beautiful dream, but a dream is earned
I can dress like a boy, I can dress like a girl
Keep your beautiful words, 'cause I'm not concerned

'Cause your world is such a shame
'Cause your world's obsessed with fame
'Cause your world's in so much pain
'Cause your world is, 'cause your world is
Up in flames

It's a beautiful plan (Hmm), but I'm not concerned (Oh, yeah)
It's a beautiful game (Hmm) that I never learned
People tell me to shut my mouth (Shut your mouth), that I might get burned
Keep your beautiful lies (Hmm) 'cause I'm not concerned

'Cause your world is such a shame
'Cause your world's obsessed with fame
'Cause your world's in so much pain
'Cause your world is, 'cause your world is—

I will﻿ not denounce the things that I have said
I will not renounce my faith in my sweet Lord
He has chosen me to fight against the English
And I'm not afraid at all to die 'cause I believe Him
God is on my side and I'll be His bride
I am not afraid 'cause I have faith in Him
You can cut my hair and throw me in a jail cell
Say that I'm a witch and burn me at the stake
It's all a big mistake
Don't you know to doubt Him is a sin?
I won't give in
You might also like
They are so naive
They think we are not aware of their crimes
We know, but we are just not ready to act
The storm isn't in the air, it's inside of us
I want to tell you about love and loneliness
But it's getting late now
Can't you hear outside of your Supreme hoodie
The wind that's beginning to howl?

It's a beautiful life16Embed"
Crazy for You,1985-03-02,Celebration,"15 ContributorsTranslationsPortuguêsCrazy for You Lyrics
Swaying room, as the music starts
Strangers making the most of the dark
Two by two, their bodies become one
I see you through the smokey air
Can't you feel the weight of my stare?
You're so close but still a world away
What I'm dying to say, is that

I'm crazy for you
Touch me once and you'll know it's true
I never wanted anyone like this
It's all brand new
You'll feel it in my kiss
I'm crazy for you
Crazy for you

Trying hard to control my heart
I walk over to where you are
Eye to eye we need no words at all
Slowly now, we begin to move
Every breath I'm deeper into you
Soon we two are standing still in time
If you read my mind, you'll see
You might also like
I'm crazy for you
Touch me once and you'll know it's true
I never wanted anyone like this
It's all brand new
You'll feel it in my kiss
You'll feel it in my kiss
Because I'm crazy for you
Touch me once and you'll know it's true
I never wanted anyone like this
It's all brand new
You'll feel it in my kiss
I'm crazy for you
Crazy for you
Crazy for you
Crazy for you

It's all brand new
I'm crazy for you
And you know it's true
I'm crazy, crazy for you
It's all brand new, I'm crazy for you
And you know it's true
Yeah, I'm crazy for you
Crazy for you, baby
I'm crazy for you
Crazy for you, baby6Embed"
Borderline,1983-07-27,The Immaculate Collection,"26 ContributorsTranslationsPortuguêsItalianoBorderline Lyrics
Something in the way you love me won't let me be
I don't want to be your prisoner, so baby, won't you set me free?
Stop playing with my heart
Finish what you start
When you make my love come down
If you want me, let me know
Baby, let it show
Honey, don't you fool around

Just try to understand (Understand)
I've given all I can
'Cause you got the best of me

Borderline
Feels like I'm going to lose my mind
You just keep on pushing my love
Over the borderline
Borderline
Feels like I'm going to lose my mind
You just keep on pushing my love
Over the borderline
(Borderline)
You might also like
Keep on pushing me, baby
Don't you know you drive me crazy?
You just keep on pushing my love
Over the borderline

Something in your eyes is making such a fool of me
When you hold me in your arms, you love me 'til I just can't see
But then you let me down
When I look around
Baby, you just can't be found
Stop driving me away
I just wanna stay
There's something I just got to say

Just try to understand (Understand)
I've given all I can
'Cause you got the best of me

Borderline
Feels like I'm going to lose my mind
You just keep on pushing my love
Over the borderline
Borderline
Feels like I'm going to lose my mind
You just keep on pushing my love
Over the borderline
(Borderline)
Keep on pushing me, baby
Don't you know you drive me crazy?
You just keep on pushing my love over the borderline

Look what your love has done to me
C'mon, baby, set me free
You just keep on pushing my love
Over the borderline
(Borderline)
You cause me so much pain
I think I'm going insane
What does it take to make you see?
You just keep on pushing my love
Over the borderline

Keep pushing me
Keep pushing me
Keep pushing my love
(Keep on pushing my love over the borderline, borderline)
C'mon, baby
C'mon, darling, yeah
Da-da-da-da, da-da-da-da, da-da-da-da9Embed"
Sorry,2006-02-07,Confessions on a Dance Floor ,"33 ContributorsTranslationsPortuguêsItalianoSorry Lyrics
Je suis désolé
Lo siento
Ik ben droevig
Sono spiacente
Perdóname

I've heard it all before, I've heard it all before
I've heard it all before, I've heard it all before
I've heard it all before, I've heard it all before
I've heard it all before, I've heard it all before
I've heard it all before, I've heard it all before
I've heard it all before, I've heard it all before
I've heard it all before, I've heard it all before

I don't wanna hear, I don't wanna know
Please don't say you're sorry
I've heard it all before and I
Can take care of myself
I don't wanna hear, I don't wanna know
Please don't say ""Forgive me""
I've seen it all before and I
Can't take it anymore
You might also like
You're not half the man you think you are
Save your words because you've gone too far
I've listened to your lies and all your stories
(Listened to your stories)
You're not half the man you'd like to be

I don't wanna hear, I don't wanna know
Please don't say you're sorry
I've heard it all before and I
Can take care of myself
I don't wanna hear, I don't wanna know
Please don't say ""Forgive me""
I've seen it all before and I
Can't take it anymore

Don't explain yourself 'cause talk is cheap
There's more important things than hearing you speak
You stayed because I made it so convenient (I made it so convenient)
Don't explain yourself, you'll never see

Gomenasai
Mujhe maaf kardo
(Sorry, sorry, sorry, sorry)
Przepraszam
(Sorry, sorry, sorry, sorry)
Sli'kha
(Sorry, sorry, sorry, sorry)
Forgive me
(Sorry, sorry, sorry, sorry)
(Sorry, sorry, sorry, sorry)
I've heard it all before, I've heard it all before
(Sorry, sorry, sorry, sorry)
I've heard it all before, I've heard it all before
(Sorry, sorry, sorry, sorry)
I've heard it all before, I've heard it all before
(Sorry, sorry, sorry, sorry)
I've heard it all before, I've heard it all before
(Sorry, sorry, sorry, sorry)
I've heard it all before, I've heard it all before
(Sorry, sorry, sorry, sorry)
I've heard it all before, I've heard it all before
(Sorry, sorry, sorry, sorry)
I've heard it all before, I've heard it all before
(Sorry, sorry, sorry, sorry)
I've heard it all before, I've heard it all before
(Sorry, sorry, sorry, sorry)

I don't wanna hear, I don't wanna know
Please don't say you're sorry
I've heard it all before and I
Can take care of myself
I don't wanna hear, I don't wanna know
Please don't say ""Forgive me""
I've seen it all before and I
Can't take it anymore
(I don't wanna hear, I don't wanna know)
Don't explain yourself 'cause talk is cheap
(Please don't say you're sorry)
(I've heard it all before and I)
There's more important things than hearing you speak
(Can take care of myself)
I don't wanna hear, I don't wanna know
Please don't say ""Forgive me""9Embed"
Give Me All Your Luvin’,2012-02-03,MDNA (Deluxe Version),"47 ContributorsTranslationsPortuguêsItalianoGive Me All Your Luvin’ Lyrics
L-U-V, Madonna
Y-O-U, you wanna?

I see you coming and I don't wanna know your name
(L-U-V, Madonna)
I see you coming and you're gonna have to change the game
(Y-O-U, you wanna?)
Would you like to try? Give me a reason why
Give me all that you got
Maybe you'll do fine as long as you don't lie to me
And pretend to be what you’re not

Don't play the stupid game
'Cause I'm a different kind of girl
Every record sounds the same
You've got to step into my world

Gimme all your lovin', give me your love
Give me all your love today
Gimme all your lovin', give me your love
Let's forget about time and dance our lives away
You might also like
L-U-V, Madonna
Y-O-U, you wanna?

Keep trying, don't give up, that's if you want it bad enough
(L-U-V, Madonna)
It's right in front of you, now tell me what you're thinking of
(Y-O-U, you wanna?)
In another place, at a different time
You can be my lucky star
We can drink some wine, Burgundy is fine
Let's drink the bottle, every drop

Don't play the stupid game
'Cause I'm a different kind of girl
Every record sounds the same
You've got to step into my world

Gimme all your lovin', give me your love
Give me all your love today
Gimme all your lovin', give me your love
Let's forget about time and dance our lives away
(Gimme all your love)
Give me all your love, boy
You can be my boy, you can be my boy toy
In the nick of time, I can say a sicker rhyme
'Cause it's time for change, like a nickel or a dime
(Gimme all your love)
Ugh, I'm Roman
I'm a barbarian, I'm Conan
You was sleeping on me, you were dozin'
Now move, I'm goin' in

You have all the L-U-V
I gave you everything you need (Now move!)
Now it's up to Y-O-U
Are you the one? Shall we proceed?

Move, it! Licks
I'm some swag shit, no one gives you this
It's supersonic, bionic, uranium hit
So I break 'em off tricks, let's pray that it sticks
I'ma say this once, yeah, I don't give a shit

Don't play the stupid game
'Cause I'm a different kind of girl
Every record sounds the same
You've got to step into my world
Gimme all your lovin', give me your love
(L-U-V, Madonna)
Gimme all your lovin', give me your love
(Y-O-U, you wanna?)
Gimme all your lovin', give me your love
Gimme all your love today
Gimme all your lovin', give me your love
Let's forget about time and dance our lives away12Embed"
